year_group,sow_set,id,term,week,dates,cycle,unit,unitName,lessonNo,lessonName,type,obj,alert
Year 13,P3/P4,y13_p34_096,Lent,L9A,8-12 Mar 2027,A,10,P4.7 Vectors,,P4.7.11 Scalar Product,core,Define and apply the scalar (dot) product to calculate angles between vectors...,Year 11 and 13 full report 3 closes.
Year 13,P3/P4,y13_p34_097,Lent,L9A,8-12 Mar 2027,A,10,P4.7 Vectors,,Revision,core,,Year 11 and 13 full report 3 closes.
Year 13,P3/P4,y13_p34_098,Lent,L10B,15-19 Mar 2027,B,10,P4.7 Vectors,★,Unit Test: P4.7 Vectors,assessment,End-of-unit assessment for P4.7 Vectors.,First teaching completion target: by Friday 19 March.
Year 13,P3/P4,y13_p34_099,Lent,L10B,15-19 Mar 2027,B,0,TARGETED REVISION,,Targeted revision / gap closing 2/4,core,"Use remaining time for past-paper style questions, correction and intervention.",First teaching completion target: by Friday 19 March.
Year 13,P3/P4,y13_p34_100,Lent,L10B,15-19 Mar 2027,B,0,TARGETED REVISION,,Targeted revision / gap closing 3/4,core,"Use remaining time for past-paper style questions, correction and intervention.",First teaching completion target: by Friday 19 March.
Year 13,P3/P4,y13_p34_101,Lent,L10B,15-19 Mar 2027,B,0,TARGETED REVISION,,Targeted revision / gap closing 4/4,core,"Use remaining time for past-paper style questions, correction and intervention.",First teaching completion target: by Friday 19 March.
Year 13,P3/P4,y13_p34_102,Lent,L12B,29 Mar-2 Apr 2027,B,0,TERM BREAK,,April break. No teaching.,flex,No regular lessons.,April break. No teaching.
Year 13,P3/P4,y13_p34_103,Summer,S1A,19-23 Apr 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Summer term starts. Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_104,Summer,S2B,26-30 Apr 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_105,Summer,S3A,3-7 May 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,4 May national holiday. Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_106,Summer,S4B,10-14 May 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_107,Summer,S5A,17-21 May 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_108,Summer,S6B,24-28 May 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_109,Summer,S7A,31 May-4 Jun 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,3-4 June national holidays. Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_110,Summer,S8B,7-11 Jun 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_111,Summer,S9A,14-18 Jun 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_112,Summer,S10B,21-25 Jun 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,P3/P4,y13_p34_113,Summer,S11A,28-30 Jun 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Final week. Off timetable. No required teaching.
Year 13,D1,y13_d1_001,Michaelmas,M1A,24-28 Aug 2026,A,0,START OF YEAR,,"Induction, routines and diagnostics",flex,"Class routines, course expectations, folders, calculators, diagnostic questions and exam-board expectations. No first teaching.",Induction. No formal first teaching.
Year 13,D1,y13_d1_002,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,D1.1 Algorithms,,D1.1.1 Using and Understanding Algorithms,core,"Define algorithms and explain key terms (input, output, efficiency). Interpre...",Start formal teaching. Year 12 CAT4 testing in M2B.
Year 13,D1,y13_d1_003,Michaelmas,M3A,7-11 Sep 2026,A,1,D1.1 Algorithms,,D1.1.2 Flow Charts,core,Construct and interpret flow charts to represent algorithms clearly. Apply fl...,
Year 13,D1,y13_d1_004,Michaelmas,M3A,7-11 Sep 2026,A,1,D1.1 Algorithms,,D1.1.3 Bubble Sort / D1.1.4 Quick Sort,core,Apply the bubble sort algorithm to order data. Analyse the efficiency and lim... Use the quick sort algorithm to arrange unordered data. Compare quick sort ef... Paired adjacent sublessons to fit 2+1 weekly D1 allocation.,
Year 13,D1,y13_d1_005,Michaelmas,M4B,14-18 Sep 2026,B,1,D1.1 Algorithms,,D1.1.5 Bin-Packing Algorithms,core,"Apply bin-packing algorithms (first-fit, first-fit decreasing, full-bin) to a...",Year 7 Tutor and Teacher PTC on 16 Sep.
Year 13,D1,y13_d1_006,Michaelmas,M5A,21-25 Sep 2026,A,1,D1.1 Algorithms,,D1.1.6 Binary Search / Revision,core,Use binary search to locate items within ordered data sets. Compare binary se... Consolidate and prepare for unit assessment. Revision paired with previous lesson.,Yr 7-13 interim report 0 opens 25 Sep.
Year 13,D1,y13_d1_007r,Michaelmas,M5A,21-25 Sep 2026,A,1,D1.1 Algorithms,,Revision,cse,Mixed revision and exam-style practice for D1.1 Algorithms.,
Year 13,D1,y13_d1_007,Michaelmas,M5A,21-25 Sep 2026,A,1,D1.1 Algorithms,★,Unit Test: D1.1 Algorithms,assessment,End-of-unit assessment for D1.1 Algorithms.,Yr 7-13 interim report 0 opens 25 Sep.
Year 13,D1,y13_d1_008,Michaelmas,M6B,28 Sep-2 Oct 2026,B,2,D1.2 Graphs and Networks,,D1.2.1 Modelling with Graphs,core,"Represent real-life problems using graphs and networks. Interpret vertices, e...",Year 12 progress check. Departmental SEF and DIP due.
Year 13,D1,y13_d1_009,Michaelmas,M7A,5-9 Oct 2026,A,2,D1.2 Graphs and Networks,,D1.2.2 Graph Theory,core,"Define key terms (degree, path, cycle, connectedness). Apply graph theory con...",IR0 closes 9 Oct. Year 10 PTC on 8 Oct.
Year 13,D1,y13_d1_010,Michaelmas,M7A,5-9 Oct 2026,A,2,D1.2 Graphs and Networks,,D1.2.3 Special Types of Graph,core,"Identify and describe properties of bipartite, complete, and planar graphs. R...",IR0 closes 9 Oct. Year 10 PTC on 8 Oct.
Year 13,D1,y13_d1_011,Michaelmas,M8B,12-16 Oct 2026,B,2,D1.2 Graphs and Networks,,D1.2.4 Representing Graphs and Networks Using Matrices / Revision,core,Represent graphs using adjacency and distance matrices. Use matrices to ident... Consolidate and prepare for unit assessment. Revision paired with previous lesson.,13 Oct national holiday. Final week before half-term. No new heavy content.
Year 13,D1,y13_d1_012,Michaelmas,M8B,12-16 Oct 2026,B,0,TERM BREAK,,Michaelmas half-term. No teaching.,flex,No regular lessons.,Michaelmas half-term. No teaching.
Year 13,D1,y13_d1_013r,Michaelmas,M9A,26-30 Oct 2026,A,2,D1.2 Graphs and Networks,,Revision,cse,Mixed revision and exam-style practice for D1.2 Graphs and Networks.,
Year 13,D1,y13_d1_013,Michaelmas,M9A,26-30 Oct 2026,A,2,D1.2 Graphs and Networks,★,Unit Test: D1.2 Graphs and Networks,assessment,End-of-unit assessment for D1.2 Graphs and Networks.,Year 11 shorter mock week.
Year 13,D1,y13_d1_014,Michaelmas,M9A,26-30 Oct 2026,A,3,D1.3 Algorithms on Graphs,,D1.3.1 Kruskal’s Algorithm / D1.3.2 Prim’s Algorithm,core,Apply Kruskal's algorithm to find a minimum spanning tree. Interpret results ... Use Prims algorithm to find a minimum spanning tree from a weighted graph. Co... Paired adjacent sublessons to fit 2+1 weekly D1 allocation.,Year 11 shorter mock week.
Year 13,D1,y13_d1_015,Michaelmas,M10B,2-6 Nov 2026,B,3,D1.3 Algorithms on Graphs,,D1.3.3 Applying Prim’s Algorithm to a Distance Matrix,core,Use distance matrices to apply Prim's algorithm systematically. Interpret out...,Year 12 IR1 opens 2 Nov. Yr 7-11 and 13 IR1 opens 3 Nov.
Year 13,D1,y13_d1_016,Michaelmas,M11A,9-13 Nov 2026,A,3,D1.3 Algorithms on Graphs,,D1.3.4 The Nearest Neighbour Algorithm,core,Apply the nearest neighbour algorithm to approximate optimal routes. Evaluate...,Year 12 IR1 closes 12 Nov.
Year 13,D1,y13_d1_017,Michaelmas,M11A,9-13 Nov 2026,A,3,D1.3 Algorithms on Graphs,,D1.3.5 Using Dijkstra’s Algorithm to Find the Shortest Path / Revision,core,Apply Dijkstra's algorithm to determine shortest paths between vertices. Repr... Consolidate and prepare for unit assessment. Revision paired with previous lesson.,Year 12 IR1 closes 12 Nov.
Year 13,D1,y13_d1_018r,Michaelmas,M12B,16-20 Nov 2026,B,3,D1.3 Algorithms on Graphs,,Revision,cse,Mixed revision and exam-style practice for D1.3 Algorithms on Graphs.,
Year 13,D1,y13_d1_018,Michaelmas,M12B,16-20 Nov 2026,B,3,D1.3 Algorithms on Graphs,★,Unit Test: D1.3 Algorithms on Graphs,assessment,End-of-unit assessment for D1.3 Algorithms on Graphs.,Yr 7-11 and 13 IR1 closes 16 Nov.
Year 13,D1,y13_d1_019,Michaelmas,M13A,23-27 Nov 2026,A,4,D1.4 Route Inspection & D1.5 The Travelling Salesman Problem,,D1.4.1 Eulerian Graphs,core,Identify Eulerian and semi-Eulerian graphs. Determine whether a closed or ope...,Year 12 PTC on 26 Nov.
Year 13,D1,y13_d1_020,Michaelmas,M13A,23-27 Nov 2026,A,4,D1.4 Route Inspection & D1.5 The Travelling Salesman Problem,,D1.4.2 Using the Route Inspection Algorithm,core,Apply the route inspection (Chinese Postman) algorithm to minimise total trav...,Year 12 PTC on 26 Nov.
Year 13,D1,y13_d1_021,Michaelmas,M14B,30 Nov-4 Dec 2026,B,4,D1.4 Route Inspection & D1.5 The Travelling Salesman Problem,,D1.5.1 Classical and Practical Travelling Salesman Problems,core,Distinguish between classical and practical travelling salesman problems. App...,Yr 7-11 and 13 IR1 published 3 Dec.
Year 13,D1,y13_d1_022,Michaelmas,M15A,7-11 Dec 2026,A,4,D1.4 Route Inspection & D1.5 The Travelling Salesman Problem,,D1.5.2 Using a Minimum Spanning Tree to Find an Upper Bound / D1.5.3 Using a Minimum Spanning Tree to Find a Lower Bound,core,Construct upper bounds using minimum spanning trees. Interpret results in ter... Determine lower bounds for TSP solutions. Evaluate the accuracy and usefulnes... Paired adjacent sublessons to fit 2+1 weekly D1 allocation.,7 Dec and 10 Dec national holidays. Sixth Form and IGCSE Options Fair 8 Dec.
Year 13,D1,y13_d1_023,Michaelmas,M15A,7-11 Dec 2026,A,4,D1.4 Route Inspection & D1.5 The Travelling Salesman Problem,,D1.5.4 Using the Nearest Neighbour Algorithm to Find an Upper Bound / Revision,core,Apply the nearest neighbour method to find approximate TSP routes. Compare he... Consolidate and prepare for unit assessment. Revision paired with previous lesson.,7 Dec and 10 Dec national holidays. Sixth Form and IGCSE Options Fair 8 Dec.
Year 13,D1,y13_d1_024r,Michaelmas,M16B,14-16 Dec 2026,B,4,D1.4 Route Inspection & D1.5 The Travelling Salesman Problem,,Revision,cse,Mixed revision and exam-style practice for D1.4 Route Inspection D1.5 The Travelling Salesman Problem.,
Year 13,D1,y13_d1_024,Michaelmas,M16B,14-16 Dec 2026,B,4,D1.4 Route Inspection & D1.5 The Travelling Salesman Problem,★,Unit Test: D1.4 Route Inspection D1.5 The Travelling Salesman Problem,assessment,End-of-unit assessment for D1.4 Route Inspection D1.5 The Travelling Salesman Problem.,Final week of Michaelmas. No new heavy content.
Year 13,D1,y13_d1_025,Michaelmas,M16B,14-16 Dec 2026,B,0,TERM BREAK,,Christmas break. No teaching.,flex,No regular lessons.,Christmas break. No teaching.
Year 13,D1,y13_d1_026,Lent,L1A,4-8 Jan 2027,A,5,D1.6 Critical Path Analysis,,"Units 1-5 Consolidation, Exam Practice / Exam Practice",core,Paired adjacent sublessons to fit 2+1 weekly D1 allocation.,6 Jan INSET. Term starts 7 Jan.
Year 13,D1,y13_d1_027,Lent,L1A,4-8 Jan 2027,A,5,D1.6 Critical Path Analysis,,D1.6.1 Modelling a Project,core,Represent project activities using activity-on-arc (AOA) networks. Identify d...,6 Jan INSET. Term starts 7 Jan.
Year 13,D1,y13_d1_028,Lent,L2B,11-15 Jan 2027,B,0,MOCK WEEK,★,Year 12 and Year 13 mock exams,assessment,End-of-unit assessment for MOCK WEEK.,Year 12 and Year 13 mock week. No regular teaching.
Year 13,D1,y13_d1_029,Lent,L3A,18-22 Jan 2027,A,5,D1.6 Critical Path Analysis,,D1.6.2 Dummy Activities,core,Use dummy activities to clarify task dependencies. Construct accurate AOA dia...,Y12 and Y13 IR2 opens. Mock results report opens.
Year 13,D1,y13_d1_030,Lent,L3A,18-22 Jan 2027,A,5,D1.6 Critical Path Analysis,,D1.6.3 Early and Late Event Times / D1.6.4 The Float of an Activity,core,Calculate early and late event times in project networks. Identify critical e... Calculate total and free float for activities. Interpret float values to impr... Paired adjacent sublessons to fit 2+1 weekly D1 allocation.,Y12 and Y13 IR2 opens. Mock results report opens.
Year 13,D1,y13_d1_031,Lent,L4B,25-29 Jan 2027,B,5,D1.6 Critical Path Analysis,,D1.6.5 Critical Activities,core,Identify critical activities and construct a critical path. Explain the signi...,Y12 and Y13 IR2 closes. Students reflections.
Year 13,D1,y13_d1_032,Lent,L5A,1-5 Feb 2027,A,5,D1.6 Critical Path Analysis,,D1.6.6 Gantt Charts,core,Construct and interpret Gantt charts to visualise project schedules. Use Gant...,Y12 and Y13 mock results publish. Report checking.
Year 13,D1,y13_d1_033,Lent,L5A,1-5 Feb 2027,A,5,D1.6 Critical Path Analysis,,D1.6.7 Scheduling Diagrams / Revision,core,Represent scheduling data using diagrammatic forms. Use diagrams to adjust an... Consolidate and prepare for unit assessment. Revision paired with previous lesson.,Y12 and Y13 mock results publish. Report checking.
Year 13,D1,y13_d1_034r,Lent,L6B,8-12 Feb 2027,B,5,D1.6 Critical Path Analysis,,Revision,cse,Mixed revision and exam-style practice for D1.6 Critical Path Analysis.,
Year 13,D1,y13_d1_034,Lent,L6B,8-12 Feb 2027,B,5,D1.6 Critical Path Analysis,★,Unit Test: D1.6 Critical Path Analysis,assessment,End-of-unit assessment for D1.6 Critical Path Analysis.,Y12 and Y13 IR2 publish. Year 13 PTC on 10 Feb. No new unit before half-term.
Year 13,D1,y13_d1_035,Lent,L6B,8-12 Feb 2027,B,0,TERM BREAK,,Lent half-term. No teaching.,flex,No regular lessons.,Lent half-term. No teaching.
Year 13,D1,y13_d1_036,Lent,L7A,22-26 Feb 2027,A,6,D1.7 Linear Programming,,D1.7.1 Linear Programming Problems,core,Formulate linear programming problems using inequalities and objective functi...,Return from half-term. Year 11 mock week.
Year 13,D1,y13_d1_037,Lent,L7A,22-26 Feb 2027,A,6,D1.7 Linear Programming,,D1.7.2 Graphical Methods,core,Plot constraints to form feasible regions graphically. Identify the feasible ...,Return from half-term. Year 11 mock week.
Year 13,D1,y13_d1_038,Lent,L8B,1-5 Mar 2027,B,6,D1.7 Linear Programming,,D1.7.3 Locating the Optimal Point,core,Apply objective functions to locate optimal points. Interpret solutions in re...,Year 11 mocks continue 1-2 Mar. Year 11 and 13 full report 3 opens.
Year 13,D1,y13_d1_039,Lent,L9A,8-12 Mar 2027,A,6,D1.7 Linear Programming,,D1.7.4 Solutions with Integer Values / Revision,core,Identify integer solutions and understand their significance. Apply search te... Consolidate and prepare for unit assessment. Revision paired with previous lesson.,Year 11 and 13 full report 3 closes.
Year 13,D1,y13_d1_040r,Lent,L9A,8-12 Mar 2027,A,6,D1.7 Linear Programming,,Revision,cse,Mixed revision and exam-style practice for D1.7 Linear Programming.,
Year 13,D1,y13_d1_040,Lent,L9A,8-12 Mar 2027,A,6,D1.7 Linear Programming,★,Unit Test: D1.7 Linear Programming,assessment,End-of-unit assessment for D1.7 Linear Programming.,Year 11 and 13 full report 3 closes.
Year 13,D1,y13_d1_041,Lent,L10B,15-19 Mar 2027,B,0,TARGETED REVISION,,Targeted revision / gap closing 1/1,core,"Use remaining time for past-paper style questions, correction and intervention.",First teaching completion target: by Friday 19 March.
Year 13,D1,y13_d1_042,Lent,L12B,29 Mar-2 Apr 2027,B,0,TERM BREAK,,April break. No teaching.,flex,No regular lessons.,April break. No teaching.
Year 13,D1,y13_d1_043,Summer,S1A,19-23 Apr 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Summer term starts. Revision/exams/study leave only.
Year 13,D1,y13_d1_044,Summer,S2B,26-30 Apr 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,D1,y13_d1_045,Summer,S3A,3-7 May 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,4 May national holiday. Revision/exams/study leave only.
Year 13,D1,y13_d1_046,Summer,S4B,10-14 May 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,D1,y13_d1_047,Summer,S5A,17-21 May 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,D1,y13_d1_048,Summer,S6B,24-28 May 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,D1,y13_d1_049,Summer,S7A,31 May-4 Jun 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,3-4 June national holidays. Revision/exams/study leave only.
Year 13,D1,y13_d1_050,Summer,S8B,7-11 Jun 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,D1,y13_d1_051,Summer,S9A,14-18 Jun 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,D1,y13_d1_052,Summer,S10B,21-25 Jun 2027,B,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Revision/exams/study leave only.
Year 13,D1,y13_d1_053,Summer,S11A,28-30 Jun 2027,A,0,REVISION / EXAMS,,"Revision, exams, study leave or off-timetable",cse,No required first-teaching content. Use only if students are present and timetable allows.,Final week. Off timetable. No required teaching.
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_001,Michaelmas,M1A,24-28 Aug 2026,A,0,Start of Year,1/2,"Induction, routines, course overview and diagnostic",flex,"Set expectations, confirm calculator and folder systems, review exam-board structure and diagnose prerequisite gaps.","Induction, routines and diagnostics. Welcome day Wed 26 Aug. No formal first teaching."
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_002,Michaelmas,M1A,24-28 Aug 2026,A,0,Start of Year,2/2,Baseline skills check and target setting,flex,"Set expectations, confirm calculator and folder systems, review exam-board structure and diagnose prerequisite gaps.",
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_003,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions & P1.2. Quadratics & P1.3. Equations and Inequalities,1/6,P1.1.1 Index Laws + P1.1.2 Expanding Brackets + P1.1.3 Factorising + P1.1.4 Negative and Fractional Indices,core,Apply and manipulate index laws for integer and fractional powers. Simplify algebraic and numerical expressions using index notation.; Expand single and double brackets using the distributive law. Simplify expressions by collecting like terms and combining results.,"Formal teaching starts. Yr 7, 10 and 12 CAT4 testing Wed 2 Sep."
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_004,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions & P1.2. Quadratics & P1.3. Equations and Inequalities,2/6,P1.1.5 Surds + P1.1.6 Rationalising Denominators + P1.2.1 Solving Quadratic Equations,core,Apply and manipulate index laws for integer and fractional powers. Simplify algebraic and numerical expressions using index notation.; Expand single and double brackets using the distributive law. Simplify expressions by collecting like terms and combining results.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_005,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions & P1.2. Quadratics & P1.3. Equations and Inequalities,3/6,P1.2.2 Completing the Square + P1.2.3 Functions + P1.2.4 Quadratic Graphs + P1.2.5 The Discriminant,core,Apply and manipulate index laws for integer and fractional powers. Simplify algebraic and numerical expressions using index notation.; Expand single and double brackets using the distributive law. Simplify expressions by collecting like terms and combining results.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_006,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions & P1.2. Quadratics & P1.3. Equations and Inequalities,4/6,P1.3.1 Linear Simultaneous Equations + P1.3.2 Quadratic Simultaneous Equations + P1.3.3 Simultaneous Equations on Graphs,core,Apply and manipulate index laws for integer and fractional powers. Simplify algebraic and numerical expressions using index notation.; Expand single and double brackets using the distributive law. Simplify expressions by collecting like terms and combining results.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_007,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions & P1.2. Quadratics & P1.3. Equations and Inequalities,5/6,P1.3.4 Linear Inequalities + P1.3.5 Quadratic Inequalities + P1.3.6 Inequalities on Graphs + P1.3.7 Regions,core,Apply and manipulate index laws for integer and fractional powers. Simplify algebraic and numerical expressions using index notation.; Expand single and double brackets using the distributive law. Simplify expressions by collecting like terms and combining results.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_008,Michaelmas,M2B,31 Aug-4 Sep 2026,B,1,P1.1. Algebraic Expressions & P1.2. Quadratics & P1.3. Equations and Inequalities,★,Unit Test 1: P1.1. Algebraic Expressions P1.2. Quadratics P1.3. Equations and Inequalities,assessment,End-of-unit assessment. Use outcomes to identify gaps and set targeted practice before the next block.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_009,Michaelmas,M2B,31 Aug-4 Sep 2026,B,2,P1.4 Graphs and Transformations & P1.5 Straight Line Graphs,1/4,P1.4.1 Cubic Graphs + P1.4.2 Reciprocal Graphs + P1.4.3 Points of Intersection,core,Sketch cubic graphs identifying roots and turning points. Solve related equations using graphical and algebraic methods.; Sketch and interpret graphs of the form y = k/x and y = k/x^2. Identify asymptotes and describe key features.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_010,Michaelmas,M3A,7-11 Sep 2026,A,2,P1.4 Graphs and Transformations & P1.5 Straight Line Graphs,2/4,P1.4.4 Translating Graphs + P1.4.5 Stretching Graphs + P1.4.6 Transforming Functions + P1.5.1 y = mx + c,core,Sketch cubic graphs identifying roots and turning points. Solve related equations using graphical and algebraic methods.; Sketch and interpret graphs of the form y = k/x and y = k/x^2. Identify asymptotes and describe key features.,Exeter 1. External exam review documentation due.
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_011,Michaelmas,M3A,7-11 Sep 2026,A,2,P1.4 Graphs and Transformations & P1.5 Straight Line Graphs,3/4,P1.5.2 Equations of Straight Lines + P1.5.3 Parallel and Perpendicular Lines + P1.5.4 Length and Area,core,Sketch cubic graphs identifying roots and turning points. Solve related equations using graphical and algebraic methods.; Sketch and interpret graphs of the form y = k/x and y = k/x^2. Identify asymptotes and describe key features.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_012,Michaelmas,M3A,7-11 Sep 2026,A,2,P1.4 Graphs and Transformations & P1.5 Straight Line Graphs,★,Unit Test 2: P1.4 Graphs and Transformations P1.5 Straight Line Graphs,assessment,End-of-unit assessment. Use outcomes to identify gaps and set targeted practice before the next block.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_013,Michaelmas,M3A,7-11 Sep 2026,A,3,P1.6 Trigonometric Ratios & P1.7 Radians & P2.6 Trigonometric Identities and Equations,1/6,P1.6.1 The Cosine Rule + P1.6.2 The Sine Rule + P1.6.3 Areas of Triangles,core,Apply the cosine rule to find missing sides or angles in triangles. Solve geometric and contextual problems using cosine relationships.; Apply the sine rule to calculate missing sides and angles. Resolve ambiguous cases and interpret results geometrically.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_014,Michaelmas,M3A,7-11 Sep 2026,A,3,P1.6 Trigonometric Ratios & P1.7 Radians & P2.6 Trigonometric Identities and Equations,2/6,"P1.6.4 Solving Triangle Problems + P1.6.5 Graphs of Sine, Cosine and Tangent + P1.6.6 Transforming Trigonometric Graphs",core,Apply the cosine rule to find missing sides or angles in triangles. Solve geometric and contextual problems using cosine relationships.; Apply the sine rule to calculate missing sides and angles. Resolve ambiguous cases and interpret results geometrically.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_015,Michaelmas,M3A,7-11 Sep 2026,A,3,P1.6 Trigonometric Ratios & P1.7 Radians & P2.6 Trigonometric Identities and Equations,3/6,P1.7.1 Radian Measure + P1.7.2 Arc Length + P1.7.3 Areas of Sectors and Segments,core,Apply the cosine rule to find missing sides or angles in triangles. Solve geometric and contextual problems using cosine relationships.; Apply the sine rule to calculate missing sides and angles. Resolve ambiguous cases and interpret results geometrically.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_016,Michaelmas,M3A,7-11 Sep 2026,A,3,P1.6 Trigonometric Ratios & P1.7 Radians & P2.6 Trigonometric Identities and Equations,4/6,P2.6.1 Angles in All Four Quadrants + P2.6.2 Exact Values of Trigonometrical Ratios + P2.6.3 Trigonometric Identities,core,Apply the cosine rule to find missing sides or angles in triangles. Solve geometric and contextual problems using cosine relationships.; Apply the sine rule to calculate missing sides and angles. Resolve ambiguous cases and interpret results geometrically.,
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_017,Michaelmas,M4B,14-18 Sep 2026,B,3,P1.6 Trigonometric Ratios & P1.7 Radians & P2.6 Trigonometric Identities and Equations,5/6,P2.6.4 Solve Simple Trigonometric Equations + P2.6.5 Harder Trigonometric Equations + P2.6.6 Equations and Identities,core,Apply the cosine rule to find missing sides or angles in triangles. Solve geometric and contextual problems using cosine relationships.; Apply the sine rule to calculate missing sides and angles. Resolve ambiguous cases and interpret results geometrically.,Year 7 Tutor and Teacher PTC Wed 16 Sep.
Year 12 FM,FM P1-P4 (FMP1234),y13_fmp1234_018,Michaelmas,M4B,14-18 Sep 2026,B,3,P1.6 Trigonometric Ratios & P1.7 Radians & P2.6 Trigonometric Identities and Equations,★,Unit Test 3: P1.6 Trigonometric Ratios P1.7 Radians P2.6 Trigonometric Identities and Equations,assessment,End-of-unit assessment. Use outcomes to identify gaps and set targeted practice before the next block.,
